,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
329,329,she was leaving omaha for houston at 400,When did the flight leave?,Have you heard about the woman's flight plans?,She was leaving Omaha for Houston at 4:00.,low,Are you heading out today?,"Do you have some extra time to lend a hand with my boxes, Ann?",low,0.3014987,0.13831612,0.1308876,0.08349144
330,330,i didnt think we had,I've been thinking about our last vacation,Do you have the latest report from marketing?,I didn't think we had.,low,What caught your attention back there?,"Hey Lisa, do we have enough for eggs and milk this week?",low,0.07952572,0.10658111,0.026564129,0.15841714
331,331,i have a doctors appointment for 1100 on tuesday,Are you free on Tuesday?,Do you have any important appointments coming up?,I have a doctor's appointment for 11:00 on Tuesday.,low,What's your schedule looking like this week?,What about next Tuesday at noon for our lunch date?,low,0.28578755,0.42911288,0.31339425,0.16626252
332,332,do you need to be there,I'm thinking of skipping the meeting today,I need to check the sales figures for next quarter.,Do you need to be there?,high,"You're not going to be able to finish the project on time, are you?",Should we go visit him?,high,0.09422137,0.08138192,0.099455774,0.1699246
333,333,hope you had a good weekend,How was your weekend getaway?,I finished reading an interesting article on quantum physics.,Hope you had a good weekend.,low,Did you do anything fun over the weekend?,Did you get a chance to do anything fun this weekend?,low,0.31201452,0.104775846,0.32496393,0.3093573
334,334,jan has a lot of detail,Jan's presentation is quite intricate.,I heard Jan prepared an intricate presentation on climate change.,Jan has a lot of detail.,high,How many slides do you think we should have?,"Hey Tom, have you given any thought to the catering for our community event?",high,0.08516725,0.19252792,0.09348295,0.09871014
335,335,do we know what we need,Are we on the right path?,Let's discuss our plan for the marketing campaign.,Do we know what we need?,high,Can we really make this work?,Shall we assign some tasks based on each other's strengths?,high,0.084963284,0.09158644,0.043719605,0.15127756
336,336,does dan know about julia changing groups,I'm surprised to see Julia switching groups without discussing it with anyone,I heard that Julia joined a new club last week,Does Dan know about Julia changing groups?,high,Have you seen Julia lately?,"Susanne: Hey Dan, have you noticed anything unusual about Julia's behavior at work recently?",high,0.41631866,0.32115003,0.31865475,0.40334585
337,337,can you bring these to 49c1,Can you pick up some office supplies from the meeting room?,I'll need you to pick up some documents from my office before heading to the meeting.,Can you bring these to 49C1?,high,Are you in your office?,Could you bring me those files from the third drawer of my desk?,high,0.22291015,0.12799637,0.13166651,0.12164351
338,338,i can fill you in on more details later,can you tell me about the upcoming conference?,Have you figured out the cause of the technical issue at work?,I can fill you in on more details later.,high,How do you plan to support Sarah?,What are your thoughts on a weekend in the park for Alex's surprise party?,high,0.19015115,0.09302357,0.14248493,0.14827946
339,339,she is taking over global finance legal,Did you know that the world's finance systems are in chaos?,Rumors have it that a new financial regulatory body is being formed.,She is taking over Global Finance Legal.,low,What's the latest update on your job?,"Sarah: 'I heard some exciting news about Emily, didn't you?',",low,0.28322238,0.20652097,0.1716696,0.08249594
340,340,also it appears no payment is required tomorrow,do i need to bring my wallet for the free trial?,I see your car needs a repair.,Also it appears no payment is required tomorrow.,high,What are the project's requirements?,What about that tour we were looking at? Is the price still the same?,high,0.20834014,0.07614635,0.0843872,0.10383675
341,341,i will need to have my memory refreshed,where did we go on our last vacation?,Have you read the latest novel by J.K. Rowling?,I will need to have my memory refreshed.,high,Do you think we'll ever be able to relive that perfect night?,"Tom, do you remember which company we approached for our marketing campaign back in 2005?",high,0.17422937,0.20159127,0.13528955,0.1550036
342,342,i hope he is having a fantastic time,did you hear that John's getting married?,John just boarded his dream vacation flight to Bali.,I hope he is having a fantastic time.,high,Has he settled into the resort yet?,Have you heard anything new about Alex's whereabouts?,high,0.23125538,0.14189258,0.1323111,0.15508527
343,343,please send me an email to let me know,I am still waiting for your confirmation on the project deadline.,I need to confirm some details for the project meeting next week.,Please send me an email to let me know.,high,Have you received my invitation?,I'd like to go over our budget plans for next quarter with you in detail.,high,0.12105946,0.11936249,0.15163061,0.11479648
344,344,im out of office till wednesday,can you help me with the Johnson report?,I need to discuss the project proposal with you urgently.,I'm out of office till Wednesday.,low,What's the latest on Mary's grades?,"Lisa: Hi Tom, are you available for our weekly meeting today?",low,0.10331522,0.098248534,0.13111673,0.2628513
345,345,danny i recommended on monday we cancel it,Did we confirm the meeting for Friday?,I'm sorry to say that I think the project will incur unexpected costs.,Danny I recommended on Monday we cancel it.,low,Do you think we should push forward with the project?,What do you think about us still going to the concert this weekend?,low,0.20919204,0.09256254,0.10240731,0.20581833
346,346,if so whitt is done,we need to finalize the project by tomorrow,Have you finished preparing the presentation for tomorrow's meeting?,If so Whitt is done?,high,Did Rachel cancel again?,Is your portion of the project finally finished?,high,0.114995256,0.17996469,0.20586394,0.21885324
347,347,if so what was it,what was the best book you read last year?,I saw an interesting article about artificial intelligence.,If so what was it?,high,I think I've solved it!,"Look at this picture, Lisa. Do you remember where we took this?",high,0.17373255,0.130036,0.034470852,0.13585865
348,348,hey tk how are you doing,I'm feeling so excited for my trip tomorrow!,I've been struggling with my project lately,"Hey TK, how are you doing?",high,What's new with your project?,"I'm sorry I can't make it to lunch today, Lisa. Something came up.",high,0.053348612,0.039504778,0.0693748,0.085687086
349,349,in isolation all of these things are trivial,Is the meaning of life really just to be happy?,The stock market prices have reached an all-time high.,"In isolation, all of these things are trivial.",low,What do you think is the most pressing issue we're facing?,Did you hear the news about the new coffee shop opening downtown?,low,0.13187718,0.09493144,0.21620527,0.09219995
350,350,the troops just walked in,Have the enemy forces been sighted?,I see the enemy troops approaching our position.,The troops just walked in.,high,What's going on with the presentation?,Can you tell me what brings these men here so suddenly?,high,0.17463478,0.12944879,0.0642559,0.07929537
351,351,im available by cell when you get data points,can you receive data packets remotely?,I need your expert opinion on these financial reports.,I'm available by cell when you get data points.,high,How's the project coming along?,Is this a good time to go over our investment strategy?,high,0.20619671,0.1690332,0.08064428,0.11516237
352,352,but we should pay them the 4500,The company has sent us the 4500 invoice for services rendered.,The restaurant we booked for dinner has unexpectedly increased their prices.,But we should pay them the 4500.,high,What's the budget we're looking at for this project?,How much do we have saved up for emergencies?,high,0.22000834,0.113254905,0.06709847,0.12262772
353,353,this seems fine to me,can we reschedule the meeting for tomorrow?,The new marketing strategy proposal looks good to me.,This seems fine to me.,high,What do you think of the project plan so far?,Is the hiking trail you suggested really suitable for your injured foot?,high,0.1451869,0.072552636,0.09016815,0.18884173
354,354,man i dont want to get sick again,I think I'm coming down with something and I don't want to get infected again,Have you been feeling ill lately?,Man I don't want to get sick again.,low,Do you think I'll be able to study properly with all these people around?,"Tom, are you feeling alright today? You've sounded a bit under the weather lately.",low,0.14524731,0.2756299,0.10339806,0.19059114
355,355,seemed fine when i picked him up,How was the dog's behavior during your morning walk?,I heard the dog whining before I left the house this morning.,Seemed fine when I picked him up.,low,What made you start drinking again?,What happened to Tom at daycare today? I heard there was an issue.,low,0.26959872,0.079004265,0.013068777,0.20578875
356,356,are you back in town,"I just landed in New York, I'm exhausted from the long flight",I saw your car at the airport today.,Are you back in town?,high,I've got so many stories to tell you about my travels!,"Hey Lisa, it's been a long time! How have you been?",high,0.16935614,0.11399826,0.09800549,0.14792673
357,357,check and find out form,can you confirm your availability for the meeting tomorrow?,The stock price of Apple Inc. has been dropping lately. What could be the reason?,Check and find out form?,high,What's taking you so long with the paperwork?,Have you heard from Sam today? We need to confirm some last-minute arrangements for the surprise party.,high,0.14267461,0.15761703,0.1537145,0.106356956
358,358,i still believe a september 30 closing is unrealistic,Can we realistically expect to close the deal by September?,"Given the current market conditions and ongoing negotiations, do you still think we can close the deal by September 30?",I still believe a September 30 closing is unrealistic.,high,Do you think we can meet the original deadline?,What do you think about meeting next week instead of this Friday for the signing?,high,0.41182256,0.4824552,0.14354461,0.15598461
359,359,i think in this case specific is better,What specific details do you think the manager will ask me during my performance review?,Have you tried the new sushi place downtown?,I think in this case specific is better.,high,Should we limit the guest list or invite everyone?,What about the food options for Tom's party?,high,0.15870845,0.17507689,0.17387497,0.130552
360,360,pressure to finish my review,"I'm struggling to meet my deadline for the project review, what do you think I should focus on?",Your deadline for the project report is coming up soon.,Pressure to finish my review!,high,How's your project going?,"Hey Lisa, do you think we can make some progress on the data analysis part of our project today?",high,0.30971083,0.16328892,0.1629715,0.112110905
361,361,san francisco was interconnect meeting,What did you learn from the Interconnect meeting?,Did you attend the tech conference in California last week?,San Francisco was Interconnect meeting.,low,How was your presentation going?,"Tom: Hey Alex, long time no see! How have you been?",low,0.37661517,0.27927828,0.17838383,0.047064453
362,362,i have 30 minutes then,Are you available to meet today?,Can we discuss the presentation details for next week?,I have 30 minutes then.,high,How are you going to make the most of your short break?,"Sarah, I've noticed you've been having some trouble at work recently. Do you have some time to discuss it?",high,0.2106058,0.12108117,0.11021658,0.12811695
363,363,ill ask he just came by,did he just get here?,Have you seen John at the office today?,"I'll ask, he just came by.",low,Do you think he might have noticed something suspicious?,Do you have a minute to discuss my presentation?,low,0.08524212,0.18760505,0.11599411,0.09409998
364,364,who should i contact regarding severance,I've been laid off due to company restructuring.,I've been let go from my job and need to know about my severance package.,Who should I contact regarding severance?,low,Do you think I'll be able to get my severance package soon?,"Hi Lisa, could you help me with some information about an employee's severance package?",low,0.2899626,0.5141248,0.43391868,0.5516149
365,365,i dont know whowhat got everything stirred up today,"something's really bothering you, isn't it?",The boss called an unexpected meeting today.,I don't know who/what got everything stirred up today.,high,What's going on? You seem really distracted today.,Did something unusual happen this morning?,high,0.107013874,0.05874305,0.28325915,0.10340124
366,366,i am staying at the w hotel,What's your accommodation like in New York?,Have you decided on a place to stay in the city?,I am staying at the W Hotel.,low,How's your trip planning going?,Have you checked out the beautiful spa here?,low,0.34103024,0.33461308,0.26063555,0.14947547
367,367,then they should go home,why did John get into trouble?,"It's raining heavily outside, they should consider staying indoors.",Then they should go home.,high,Do you think we should bother John about it now?,Do you think we should have dinner before leaving?,high,0.046958763,0.23491113,0.057107367,0.1800692
368,368,make sure they are current,can you confirm the validity of these software updates?,Have they paid their bills on time this month?,Make sure they are current.,high,Have you got a minute to discuss our finances?,Have you had a chance to check the customer database lately?,high,0.13448691,0.09564913,0.040874824,0.100243345
369,369,was wondering if you and natalie connected,Did Natalie say she'd meet us at 7?,I saw Natalie at the park with a man yesterday,Was wondering if you and Natalie connected?,high,I think we should send out a mass email once we've got our RSVPs in order.,"Hi Linda, did you receive the confirmation email for the business conference next month?",high,0.28327915,0.2196202,0.14768615,0.14530039
370,370,do we have new york sorted out,Are our travel plans to New York still on track?,I've booked our flights to New York next week.,Do we have New York sorted out?,high,"I think I've found a great hotel in Manhattan, what do you think of this one?",Which city should we book the flights for?,high,0.35638,0.25510603,0.16359033,0.2692373
371,371,im on the 6th floor of the new building,Where are you now?,Have you reached the new IT department yet?,I'm on the 6th floor of the new building.,low,How's your first day going?,"Which floor is your office on, Tom?",low,0.22531873,0.22464022,0.17025411,0.39990652
372,372,ill give you my handwritten notes,can you provide me with your lecture notes?,Have you taken thorough notes during our last team meeting?,I'll give you my handwritten notes.,low,Do you think I could see what you're working on?,Can I come in to discuss some points for the presentation?,low,0.24291757,0.25996196,0.071489096,0.10808799
373,373,he doesnt want to give the trading positions,Can you confirm the trading positions with John?,Have you asked him for his trading strategy?,He doesn't want to give the trading positions.,high,What's holding you back from sharing your perspective on the stocks?,Can I discuss with you the potential gains from these new trading opportunities?,high,0.2861758,0.32338965,0.2924179,0.15589374
374,374,we will get you a copy,can you send me a copy of the contract?,I need a copy of the contract for next week's meeting.,We will get you a copy.,high,Do you have any idea how we can access those reports?,Have you found those reports we need for the presentation tomorrow?,high,0.2214505,0.267949,0.09740201,0.11284074
375,375,you are welcome in palacios this weekend of course,I've got an invitation to Palacios this weekend. Should I take it?,I'd love to visit Palacios over the weekend. Can I come?,"You are welcome in Palacios this weekend, of course.",low,Are you ready to explore Palacios?,John heard that we're going to Palacios this weekend.,low,0.5923672,0.5897403,0.44139832,0.47142017
376,376,no at least not to my knowledge,do you know the password to my old laptop?,Have you heard about the new scientific discovery in quantum physics?,"No, at least not to my knowledge.",low,How's your job situation going?,"Hey Lisa, have you heard of any promising business opportunities lately?",low,0.20202759,0.14924435,0.08758977,0.14409429
377,377,we had a vp prc meeting thursday,Did the VP approve our proposal last week?,Did you discuss business strategies with the VP during last week's PRC meeting?,We had a VP PRC meeting Thursday.,low,How did the discussion go on Thursday?,"Hey Sara, do you have some time this afternoon to discuss the marketing strategy for our new project?",low,0.31098267,0.50308645,0.21649808,0.13115434
378,378,do you have a number for steve,Did you know that Steve will be joining us for the meeting tomorrow?,I need to contact Steve urgently.,Do you have a number for Steve?,low,"I've been trying to get hold of you all day, do you know what's going on?",Do you have an address for Tom?,low,0.31671602,0.30193746,0.099808425,0.18308344
379,379,we dont want to look bad to dyn,Are we going to make it to the meeting on time?,Our team's presentation at Dyn's conference is coming up. What should we wear?,We don't want to look bad to Dyn.,low,Shall we invite all her colleagues?,John: Do you have some ideas on how we can boost our sales before the end of the quarter?,low,0.16311124,0.20496368,0.11029784,0.10769741
380,380,it may be an hour,Are we going to make the meeting on time?,Have you finished preparing the report for tomorrow's meeting?,It may be an hour.,high,Do you think I'll find you awake?,"Is everything alright with your bus, Anna?",high,0.1440179,0.11108348,0.07531262,0.08282959
381,381,jim please confirm to vince you are happy,are you looking forward to the party tonight?,The new project's timeline seems quite tight. Are we all in agreement with the deadlines?,Jim please confirm to Vince you are happy.,high,Do you want me to make some adjustments?,"Can I have your thoughts on the proposal, Vince?",high,0.16429827,0.16800278,0.050243776,0.30320233
382,382,hope your week is going well,Did you have a relaxing weekend?,I've been struggling with my project deadline.,Hope your week is going well.,high,Are you still worried about our travel expenses?,"Hey Lisa, I see you've got a lot on your plate today. How about we grab some coffee and discuss our project progress?",high,0.25325897,0.08545146,0.11361966,0.09104235
383,383,is this the only time available,Can I meet you at 3 pm today?,Can we meet next Tuesday at 3 PM?,Is this the only time available?,high,Do you think we can get started right away?,Can we perhaps find a different time for our discussion?,high,0.17844462,0.17258921,0.039349206,0.10229935
384,384,we just pulled schedules from the web,can you send me my flight schedule?,Have you set a meeting time yet?,We just pulled schedules from the web.,high,Have you seen the latest flight times?,What time are you usually finished with work this week?,high,0.28411704,0.24692194,0.1581544,0.2961362
385,385,did you get the message to call mary kay,Did you confirm the meeting with Mary Kay for tomorrow?,I found your lost wallet on the bus,Did you get the message to call Mary Kay?,high,Have you seen the updated report?,Did you receive my text about the business matter we need to discuss with Mary Kay?,high,0.38458732,0.103068605,0.045913592,0.42138618
386,386,no there will be plenty of others,will I ever find the one?,Do you know any good Italian restaurants in town?,No there will be plenty of others.,high,Are you leaving soon?,Have you heard anything back about the job yet?,high,0.22818397,0.2070083,0.14914893,0.13858265
387,387,what is the purpose of this,I'm feeling anxious about my upcoming exam.,I've found an old map in the attic,What is the purpose of this?,high,Why are we wasting so much time on this?,"What can we make of these symbols, Sara?",high,0.14010708,0.086124,0.07854385,0.1327762
388,388,i think those are the right dates,When are the Johnson's anniversary and birthday parties scheduled?,I checked the calendar and found possible dates for the meeting. How does the 15th and 17th of next month work for you?,I think those are the right dates.,high,Do you want me to go over our plans again?,"What are the final dates for our European vacation, Tom?",high,0.2588635,0.28994524,0.06961076,0.27653545
389,389,does friday at 10 work for you,Can we schedule our meeting for next week?,I'd like to schedule a meeting next week.,Does Friday at 10 work for you?,high,I hope your project is coming along well?,May I have a few minutes to go over some project details?,high,0.2397168,0.16185443,0.100882694,0.029280897
390,390,do you want to fax it to my hotel,Can you receive attachments on your mobile?,I found some important documents in your email,Do you want to fax it to my hotel?,high,Can I send you these documents for signing?,Can I email you those documents instead?,high,0.19442791,0.08866743,0.17528565,0.18192965
391,391,did you differ from me,did we really attend that party last night?,I believe we have contrasting opinions on this matter.,Did you differ from me?,high,"Our lives took quite distinct turns, didn't they?",Which author do you consider the greatest of all time?,high,0.11345857,0.040561892,0.07670425,0.17410396
392,392,thanks  thats what i was hoping it was,Is the concert tonight at 7pm?,Is the red mark on your arm a mole or a bruise?,Thanks - that's what I was hoping it was.,low,Is this a unique design?,Is this the chocolate mousse cake I promised you?,low,0.22286324,0.19879636,0.076721385,0.11348716
393,393,just in case we havent invited any of them,Are you planning to invite any colleagues from the marketing department?,Do you think we should send out formal invitations for the event?,Just in case we haven't invited any of them.,high,Are you sure we've sent out the invitations to all his close friends?,Should we call Mark and Lisa and invite them to the party?,high,0.24976577,0.3319633,0.2130354,0.29928118
394,394,i am getting lots of questions,Can you confirm if I'm getting too many questions?,Have you received many emails today?,I am getting lots of questions.,high,How's your workload today?,"Sarah: Excuse me, Doctor, my daughter has had this nagging cough for over a week now. Could we discuss what could be causing it?",high,0.23765156,0.2938519,0.21318954,0.17071767
395,395,how did they get onto our floor,I just saw my neighbor's cat roaming around the office,I heard footsteps coming from the stairwell.,How did they get onto our floor?,high,Alex must have gotten past security somehow,Who could be coming into the office at this hour?,high,0.14259948,0.16533259,0.09468032,0.12784132
396,396,i will take a look at this today,can you review the sales report for last quarter?,Can you check if the company's financial reports from last quarter are ready?,I will take a look at this today.,high,Do you think I'll be able to get your input on this by tomorrow?,Lisa: Have you had a chance to go over the kitchen renovation estimate in detail?,high,0.15249749,0.17896193,0.03708367,0.1678429
397,397,yes still need it  when are you back,"I'm still looking for the USB drive, did you bring it?",I forgot my phone at home and I need to make some important calls today.,Yes still need it - when are you back?,low,Do you think we can still make it?,"Hey Lisa, I've finished with the documents you lent me, could you please drop them off at my place?",low,0.26608777,0.1876269,0.05474851,0.14294787
398,398,on mahonia margining i spoke with mike garberding,Can you confirm the meeting with Mike Garberding?,Have you read the latest research on plant species in the Marginalia forest?,"On Mahonia margining, I spoke with Mike Garberding.",low,"I've been thinking about our college days, what's new with you?","Hello Mike, what beautiful flowers you have here!",low,0.30405128,0.1938137,0.06541894,0.22505704
399,399,will you come get me,I'm stuck on the side of the road with a flat tire,"I forgot my keys at home, can you bring them to me?",Will you come get me?,high,How's your day going?,Can you bring me my wallet?,high,0.14653307,0.2451033,0.11453287,0.17953622
400,400,i will conference in for thursdays customer service meeting,Can you join the Thursday customer service meeting?,Let's schedule the customer service meeting for next week.,I will conference in for Thursday's customer service meeting.,low,Did you finish your report?,"Sara, could you please bring your expertise on project X to our customer service meeting this week?",low,0.4266345,0.28277984,0.15624657,0.2785662
